# Region        : cellZone component_0
# Cells         : 561
# Volume        : 1.10341309e+00
# Time          	volAverage(T)
1               	3.00105751e+02
2               	3.00210845e+02
3               	3.00311971e+02
4               	3.00410356e+02
5               	3.00507288e+02
6               	3.00603025e+02
7               	3.00697762e+02
8               	3.00791573e+02
9               	3.00884725e+02
10              	3.00977293e+02
11              	3.01068750e+02
12              	3.01159461e+02
13              	3.01249517e+02
14              	3.01339369e+02
15              	3.01428420e+02
16              	3.01516674e+02
17              	3.01602742e+02
18              	3.01689270e+02
19              	3.01776240e+02
20              	3.01861935e+02
21              	3.01945600e+02
22              	3.02027571e+02
23              	3.02110022e+02
24              	3.02190267e+02
25              	3.02269155e+02
26              	3.02347227e+02
27              	3.02423256e+02
28              	3.02499515e+02
29              	3.02575624e+02
30              	3.02652307e+02
31              	3.02728046e+02
32              	3.02801199e+02
33              	3.02874061e+02
34              	3.02945424e+02
35              	3.03015537e+02
36              	3.03084485e+02
37              	3.03152812e+02
38              	3.03222031e+02
39              	3.03288852e+02
40              	3.03356890e+02
41              	3.03422858e+02
42              	3.03490035e+02
43              	3.03555348e+02
44              	3.03621019e+02
45              	3.03689825e+02
46              	3.03754973e+02
47              	3.03818830e+02
48              	3.03881101e+02
49              	3.03943489e+02
50              	3.04005409e+02
51              	3.04068042e+02
52              	3.04130053e+02
53              	3.04192101e+02
54              	3.04254996e+02
55              	3.04321275e+02
56              	3.04385450e+02
57              	3.04447918e+02
58              	3.04509279e+02
59              	3.04570643e+02
60              	3.04633362e+02
61              	3.04696225e+02
62              	3.04756564e+02
63              	3.04815662e+02
64              	3.04873365e+02
65              	3.04927836e+02
66              	3.04985226e+02
67              	3.05038199e+02
68              	3.05079032e+02
69              	3.05112384e+02
70              	3.05143001e+02
71              	3.05175358e+02
72              	3.05208446e+02
73              	3.05240824e+02
74              	3.05274806e+02
75              	3.05311904e+02
76              	3.05349203e+02
77              	3.05389120e+02
78              	3.05432799e+02
79              	3.05478993e+02
80              	3.05520581e+02
81              	3.05556473e+02
82              	3.05590189e+02
83              	3.05620245e+02
84              	3.05649528e+02
85              	3.05679616e+02
86              	3.05714596e+02
87              	3.05752666e+02
88              	3.05789264e+02
89              	3.05821041e+02
90              	3.05854409e+02
91              	3.05890199e+02
92              	3.05926389e+02
