# Region        : cellZone fluid
# Cells         : 10111
# Volume        : 1.83245272e+01
# Time          	volAverage(T)
1               	3.00000167e+02
2               	3.00000305e+02
3               	3.00001336e+02
4               	3.00002864e+02
5               	3.00003926e+02
6               	3.00005143e+02
7               	3.00006489e+02
8               	3.00008033e+02
9               	3.00009825e+02
10              	3.00012008e+02
11              	3.00014379e+02
12              	3.00017015e+02
13              	3.00019847e+02
14              	3.00023254e+02
15              	3.00026404e+02
16              	3.00029091e+02
17              	3.00032597e+02
18              	3.00035373e+02
19              	3.00039721e+02
20              	3.00044065e+02
21              	3.00048409e+02
22              	3.00052890e+02
23              	3.00056147e+02
24              	3.00061391e+02
25              	3.00065875e+02
26              	3.00070229e+02
27              	3.00074309e+02
28              	3.00078701e+02
29              	3.00083574e+02
30              	3.00088618e+02
31              	3.00093102e+02
32              	3.00098228e+02
33              	3.00103814e+02
34              	3.00111773e+02
35              	3.00117442e+02
36              	3.00123688e+02
37              	3.00129135e+02
38              	3.00134894e+02
39              	3.00140689e+02
40              	3.00146314e+02
41              	3.00151578e+02
42              	3.00157041e+02
43              	3.00163580e+02
44              	3.00171716e+02
45              	3.00178032e+02
46              	3.00181626e+02
47              	3.00187062e+02
48              	3.00193411e+02
49              	3.00199146e+02
50              	3.00204997e+02
51              	3.00210660e+02
52              	3.00216501e+02
53              	3.00222418e+02
54              	3.00228045e+02
55              	3.00233478e+02
56              	3.00238680e+02
57              	3.00244553e+02
58              	3.00253695e+02
59              	3.00260411e+02
60              	3.00265547e+02
61              	3.00270408e+02
62              	3.00275575e+02
63              	3.00282087e+02
64              	3.00287324e+02
65              	3.00292857e+02
66              	3.00297998e+02
67              	3.00302879e+02
68              	3.00310344e+02
69              	3.00316703e+02
70              	3.00321573e+02
71              	3.00326980e+02
72              	3.00331990e+02
73              	3.00337974e+02
74              	3.00344363e+02
75              	3.00351753e+02
76              	3.00357742e+02
77              	3.00364601e+02
78              	3.00369362e+02
79              	3.00373626e+02
80              	3.00378091e+02
81              	3.00383165e+02
82              	3.00388811e+02
83              	3.00392638e+02
84              	3.00397477e+02
85              	3.00403681e+02
86              	3.00409005e+02
87              	3.00413380e+02
88              	3.00417609e+02
89              	3.00425962e+02
90              	3.00433033e+02
91              	3.00437605e+02
92              	3.00443911e+02
93              	3.00446653e+02
94              	3.00450844e+02
95              	3.00454625e+02
96              	3.00458734e+02
97              	3.00463350e+02
98              	3.00467687e+02
99              	3.00473013e+02
100             	3.00478225e+02
101             	3.00484441e+02
102             	3.00491022e+02
103             	3.00498404e+02
104             	3.00502693e+02
105             	3.00507845e+02
106             	3.00511931e+02
107             	3.00516781e+02
108             	3.00521163e+02
109             	3.00525102e+02
110             	3.00527686e+02
111             	3.00532184e+02
112             	3.00537333e+02
113             	3.00544277e+02
114             	3.00550211e+02
115             	3.00553918e+02
116             	3.00559202e+02
117             	3.00562348e+02
118             	3.00567878e+02
119             	3.00570279e+02
120             	3.00572397e+02
121             	3.00578246e+02
122             	3.00582400e+02
123             	3.00586243e+02
124             	3.00590571e+02
125             	3.00593575e+02
126             	3.00599560e+02
127             	3.00603239e+02
128             	3.00607986e+02
129             	3.00611262e+02
130             	3.00614107e+02
131             	3.00616552e+02
132             	3.00620216e+02
133             	3.00621033e+02
134             	3.00623310e+02
135             	3.00626025e+02
136             	3.00632372e+02
137             	3.00635746e+02
138             	3.00638244e+02
139             	3.00643318e+02
140             	3.00649105e+02
141             	3.00651088e+02
142             	3.00654578e+02
143             	3.00658740e+02
144             	3.00660768e+02
145             	3.00663266e+02
146             	3.00665964e+02
147             	3.00669888e+02
148             	3.00676130e+02
149             	3.00680716e+02
150             	3.00685447e+02
151             	3.00685194e+02
152             	3.00688272e+02
153             	3.00692524e+02
154             	3.00695512e+02
155             	3.00698130e+02
156             	3.00698938e+02
157             	3.00699814e+02
