# Region        : cellZone pcb
# Cells         : 467
# Volume        : 8.14770347e-01
# Time          	volAverage(T)
1               	3.00022907e+02
2               	3.00066493e+02
3               	3.00126585e+02
4               	3.00201437e+02
5               	3.00287078e+02
6               	3.00383719e+02
7               	3.00490396e+02
8               	3.00606691e+02
9               	3.00732557e+02
10              	3.00868008e+02
11              	3.01013045e+02
12              	3.01166838e+02
13              	3.01328290e+02
14              	3.01494376e+02
15              	3.01664025e+02
16              	3.01835732e+02
17              	3.02006568e+02
18              	3.02183270e+02
19              	3.02363153e+02
20              	3.02544447e+02
21              	3.02726523e+02
22              	3.02914736e+02
23              	3.03111703e+02
24              	3.03304943e+02
25              	3.03501130e+02
26              	3.03700398e+02
27              	3.03897782e+02
28              	3.04090587e+02
29              	3.04280553e+02
30              	3.04471789e+02
31              	3.04664289e+02
32              	3.04859439e+02
33              	3.05057803e+02
34              	3.05252095e+02
35              	3.05442135e+02
36              	3.05633492e+02
37              	3.05823123e+02
38              	3.06010502e+02
39              	3.06199799e+02
40              	3.06391712e+02
41              	3.06573566e+02
42              	3.06747860e+02
43              	3.06922473e+02
44              	3.07097524e+02
45              	3.07267128e+02
46              	3.07426490e+02
47              	3.07597420e+02
48              	3.07768100e+02
49              	3.07946646e+02
50              	3.08117150e+02
51              	3.08277217e+02
52              	3.08439802e+02
53              	3.08608243e+02
54              	3.08769863e+02
55              	3.08922696e+02
56              	3.09071108e+02
57              	3.09217684e+02
58              	3.09358613e+02
59              	3.09503706e+02
60              	3.09648103e+02
61              	3.09789462e+02
62              	3.09922048e+02
63              	3.10055964e+02
64              	3.10187359e+02
65              	3.10315752e+02
66              	3.10442611e+02
67              	3.10566787e+02
68              	3.10685196e+02
69              	3.10801859e+02
70              	3.10918542e+02
71              	3.11038728e+02
72              	3.11158212e+02
73              	3.11270583e+02
74              	3.11374897e+02
75              	3.11478882e+02
76              	3.11578002e+02
77              	3.11683671e+02
78              	3.11795401e+02
79              	3.11908171e+02
80              	3.12010572e+02
81              	3.12102760e+02
82              	3.12190430e+02
83              	3.12273516e+02
84              	3.12361200e+02
85              	3.12446644e+02
86              	3.12526099e+02
87              	3.12608353e+02
88              	3.12690541e+02
89              	3.12772703e+02
90              	3.12849565e+02
91              	3.12939841e+02
92              	3.13031204e+02
93              	3.13112617e+02
94              	3.13184146e+02
95              	3.13252127e+02
96              	3.13333449e+02
97              	3.13411963e+02
98              	3.13478677e+02
99              	3.13538684e+02
100             	3.13595770e+02
101             	3.13649649e+02
102             	3.13701108e+02
103             	3.13759784e+02
104             	3.13826088e+02
105             	3.13889784e+02
106             	3.13953589e+02
107             	3.14006120e+02
108             	3.14068323e+02
109             	3.14129582e+02
110             	3.14186002e+02
111             	3.14237172e+02
112             	3.14287748e+02
113             	3.14329587e+02
114             	3.14373940e+02
115             	3.14427540e+02
116             	3.14473493e+02
117             	3.14510515e+02
118             	3.14544391e+02
119             	3.14568652e+02
120             	3.14602562e+02
121             	3.14633006e+02
122             	3.14662128e+02
123             	3.14689538e+02
124             	3.14725413e+02
125             	3.14758554e+02
126             	3.14785272e+02
127             	3.14813840e+02
128             	3.14852211e+02
