# Region        : cellZone component_0
# Cells         : 189
# Volume        : 3.86189938e-01
# Time          	volAverage(T)
1               	3.00186061e+02
2               	3.00369881e+02
3               	3.00539766e+02
4               	3.00700831e+02
5               	3.00857658e+02
6               	3.01011887e+02
7               	3.01164154e+02
8               	3.01315412e+02
9               	3.01466077e+02
10              	3.01617229e+02
11              	3.01765535e+02
12              	3.01906829e+02
13              	3.02042532e+02
14              	3.02174371e+02
15              	3.02302656e+02
16              	3.02435472e+02
17              	3.02566405e+02
18              	3.02693394e+02
19              	3.02817232e+02
20              	3.02938851e+02
21              	3.03059002e+02
22              	3.03175885e+02
23              	3.03290453e+02
24              	3.03408540e+02
25              	3.03515674e+02
26              	3.03611490e+02
27              	3.03699591e+02
28              	3.03779362e+02
29              	3.03861977e+02
30              	3.03948531e+02
31              	3.04037885e+02
32              	3.04129071e+02
33              	3.04217843e+02
34              	3.04305810e+02
35              	3.04393388e+02
36              	3.04481292e+02
37              	3.04566839e+02
38              	3.04653556e+02
39              	3.04740183e+02
40              	3.04825254e+02
41              	3.04908693e+02
42              	3.04991710e+02
43              	3.05070058e+02
44              	3.05145797e+02
45              	3.05215034e+02
46              	3.05277659e+02
47              	3.05340226e+02
48              	3.05405449e+02
49              	3.05474459e+02
50              	3.05543922e+02
51              	3.05612539e+02
52              	3.05681284e+02
53              	3.05749542e+02
54              	3.05816699e+02
55              	3.05884981e+02
56              	3.05955810e+02
57              	3.06024590e+02
58              	3.06089736e+02
59              	3.06149698e+02
60              	3.06203328e+02
61              	3.06263049e+02
62              	3.06321544e+02
63              	3.06377329e+02
64              	3.06432511e+02
65              	3.06486684e+02
66              	3.06539831e+02
67              	3.06592208e+02
68              	3.06644247e+02
69              	3.06697845e+02
70              	3.06751957e+02
71              	3.06805381e+02
72              	3.06859742e+02
73              	3.06913943e+02
74              	3.06967281e+02
75              	3.07018696e+02
76              	3.07067810e+02
77              	3.07116001e+02
78              	3.07162303e+02
79              	3.07206883e+02
80              	3.07250941e+02
81              	3.07295978e+02
82              	3.07338878e+02
83              	3.07379237e+02
84              	3.07416445e+02
85              	3.07454049e+02
86              	3.07490358e+02
87              	3.07525688e+02
88              	3.07560773e+02
89              	3.07594875e+02
90              	3.07629962e+02
91              	3.07665417e+02
92              	3.07701453e+02
93              	3.07736481e+02
94              	3.07771193e+02
95              	3.07804735e+02
96              	3.07839293e+02
97              	3.07873097e+02
98              	3.07905688e+02
99              	3.07937222e+02
100             	3.07968063e+02
101             	3.07998186e+02
102             	3.08027694e+02
103             	3.08056704e+02
104             	3.08085411e+02
105             	3.08114301e+02
106             	3.08143095e+02
107             	3.08171164e+02
108             	3.08198619e+02
109             	3.08225472e+02
110             	3.08251945e+02
111             	3.08277877e+02
112             	3.08303616e+02
113             	3.08329174e+02
114             	3.08354841e+02
115             	3.08379349e+02
116             	3.08404420e+02
117             	3.08429455e+02
118             	3.08453708e+02
119             	3.08474995e+02
120             	3.08495127e+02
121             	3.08515045e+02
122             	3.08533763e+02
123             	3.08552154e+02
124             	3.08570051e+02
125             	3.08587551e+02
126             	3.08605045e+02
127             	3.08622502e+02
128             	3.08640255e+02
129             	3.08658523e+02
130             	3.08677472e+02
131             	3.08697033e+02
132             	3.08716145e+02
133             	3.08735142e+02
134             	3.08754096e+02
135             	3.08772621e+02
136             	3.08789703e+02
137             	3.08804913e+02
138             	3.08820090e+02
139             	3.08835056e+02
140             	3.08849497e+02
141             	3.08863092e+02
142             	3.08876573e+02
143             	3.08890275e+02
144             	3.08904367e+02
145             	3.08918890e+02
146             	3.08933253e+02
147             	3.08947861e+02
148             	3.08962924e+02
149             	3.08978156e+02
150             	3.08993083e+02
151             	3.09006405e+02
152             	3.09018815e+02
153             	3.09031235e+02
154             	3.09043544e+02
155             	3.09055102e+02
156             	3.09066049e+02
