# Region        : cellZone pcb
# Cells         : 806
# Volume        : 1.54038913e+00
# Time          	volAverage(T)
1               	3.00017453e+02
2               	3.00050393e+02
3               	3.00095392e+02
4               	3.00152141e+02
5               	3.00217696e+02
6               	3.00292817e+02
7               	3.00376460e+02
8               	3.00468301e+02
9               	3.00567551e+02
10              	3.00674084e+02
11              	3.00788116e+02
12              	3.00905855e+02
13              	3.01028873e+02
14              	3.01157961e+02
15              	3.01292823e+02
16              	3.01432809e+02
17              	3.01577435e+02
18              	3.01726369e+02
19              	3.01879590e+02
20              	3.02034702e+02
21              	3.02194433e+02
22              	3.02356625e+02
23              	3.02521939e+02
24              	3.02689464e+02
25              	3.02860931e+02
26              	3.03035154e+02
27              	3.03212165e+02
28              	3.03391926e+02
29              	3.03572746e+02
30              	3.03755220e+02
31              	3.03938894e+02
32              	3.04123138e+02
33              	3.04310464e+02
34              	3.04496741e+02
35              	3.04685729e+02
36              	3.04878883e+02
37              	3.05072395e+02
38              	3.05266653e+02
39              	3.05461814e+02
40              	3.05658737e+02
41              	3.05856808e+02
42              	3.06052810e+02
43              	3.06246177e+02
44              	3.06442446e+02
45              	3.06638985e+02
46              	3.06831860e+02
47              	3.07020901e+02
48              	3.07212880e+02
49              	3.07405917e+02
50              	3.07598512e+02
51              	3.07792218e+02
52              	3.07986798e+02
53              	3.08181319e+02
54              	3.08374814e+02
55              	3.08567098e+02
56              	3.08757399e+02
57              	3.08945418e+02
58              	3.09133653e+02
59              	3.09323247e+02
60              	3.09513516e+02
61              	3.09703222e+02
62              	3.09890961e+02
63              	3.10075867e+02
64              	3.10257673e+02
65              	3.10438908e+02
66              	3.10620251e+02
67              	3.10799300e+02
68              	3.10977105e+02
69              	3.11157002e+02
70              	3.11331417e+02
71              	3.11506179e+02
72              	3.11679373e+02
73              	3.11850614e+02
74              	3.12021626e+02
75              	3.12190993e+02
76              	3.12359915e+02
77              	3.12527713e+02
78              	3.12694547e+02
79              	3.12858846e+02
80              	3.13024497e+02
81              	3.13185807e+02
82              	3.13348372e+02
83              	3.13509317e+02
84              	3.13671258e+02
85              	3.13830914e+02
86              	3.13990380e+02
87              	3.14147140e+02
88              	3.14303574e+02
89              	3.14459565e+02
