# Region        : cellZone pcb
# Cells         : 486
# Volume        : 8.50479026e-01
# Time          	volAverage(T)
1               	3.00010534e+02
2               	3.00030680e+02
3               	3.00058710e+02
4               	3.00093956e+02
5               	3.00135242e+02
6               	3.00182235e+02
7               	3.00234812e+02
8               	3.00292279e+02
9               	3.00354022e+02
10              	3.00419960e+02
11              	3.00490437e+02
12              	3.00564808e+02
13              	3.00642634e+02
14              	3.00722254e+02
15              	3.00803380e+02
16              	3.00886844e+02
17              	3.00972691e+02
18              	3.01061031e+02
19              	3.01151527e+02
20              	3.01243941e+02
21              	3.01338377e+02
22              	3.01435186e+02
23              	3.01533185e+02
24              	3.01632387e+02
25              	3.01733250e+02
26              	3.01833721e+02
27              	3.01933411e+02
28              	3.02033966e+02
29              	3.02136684e+02
30              	3.02241463e+02
31              	3.02346663e+02
32              	3.02452454e+02
33              	3.02557708e+02
34              	3.02662352e+02
35              	3.02767282e+02
36              	3.02871275e+02
37              	3.02974629e+02
38              	3.03079072e+02
39              	3.03179986e+02
40              	3.03283065e+02
41              	3.03385074e+02
42              	3.03485786e+02
43              	3.03585921e+02
44              	3.03685697e+02
45              	3.03785504e+02
46              	3.03884902e+02
47              	3.03984019e+02
48              	3.04081214e+02
49              	3.04177983e+02
50              	3.04274613e+02
51              	3.04370223e+02
52              	3.04463918e+02
53              	3.04557021e+02
54              	3.04649060e+02
55              	3.04742526e+02
56              	3.04836407e+02
57              	3.04927137e+02
58              	3.05015134e+02
59              	3.05101668e+02
60              	3.05187639e+02
61              	3.05272975e+02
62              	3.05356683e+02
63              	3.05440450e+02
64              	3.05525048e+02
65              	3.05609158e+02
66              	3.05691447e+02
67              	3.05771626e+02
68              	3.05849996e+02
69              	3.05926785e+02
70              	3.06004029e+02
71              	3.06081382e+02
72              	3.06153145e+02
73              	3.06222957e+02
74              	3.06291558e+02
75              	3.06360654e+02
76              	3.06430536e+02
77              	3.06502685e+02
78              	3.06571899e+02
79              	3.06638850e+02
80              	3.06704531e+02
81              	3.06769568e+02
82              	3.06833741e+02
83              	3.06897080e+02
84              	3.06959449e+02
85              	3.07020923e+02
86              	3.07081807e+02
87              	3.07141577e+02
88              	3.07200990e+02
89              	3.07260565e+02
90              	3.07315854e+02
91              	3.07372266e+02
92              	3.07427201e+02
93              	3.07480544e+02
94              	3.07533077e+02
95              	3.07584641e+02
96              	3.07637381e+02
97              	3.07692950e+02
98              	3.07747788e+02
99              	3.07800148e+02
100             	3.07849998e+02
101             	3.07897182e+02
102             	3.07942326e+02
103             	3.07985505e+02
104             	3.08028110e+02
105             	3.08070934e+02
106             	3.08112781e+02
107             	3.08154402e+02
108             	3.08195562e+02
109             	3.08236417e+02
110             	3.08277749e+02
111             	3.08318982e+02
112             	3.08360459e+02
113             	3.08403124e+02
114             	3.08443264e+02
115             	3.08482522e+02
116             	3.08521658e+02
117             	3.08560085e+02
118             	3.08597687e+02
119             	3.08636276e+02
120             	3.08674094e+02
121             	3.08709602e+02
122             	3.08743496e+02
123             	3.08776235e+02
124             	3.08808658e+02
125             	3.08842317e+02
126             	3.08876804e+02
127             	3.08909000e+02
128             	3.08939646e+02
129             	3.08967575e+02
130             	3.08995618e+02
131             	3.09023988e+02
132             	3.09052639e+02
133             	3.09082409e+02
134             	3.09113058e+02
135             	3.09143445e+02
136             	3.09173208e+02
137             	3.09202659e+02
138             	3.09230847e+02
139             	3.09258516e+02
140             	3.09285203e+02
141             	3.09310674e+02
142             	3.09335976e+02
143             	3.09360601e+02
144             	3.09385950e+02
145             	3.09410854e+02
146             	3.09434456e+02
147             	3.09460451e+02
148             	3.09483730e+02
149             	3.09505223e+02
150             	3.09526954e+02
151             	3.09549152e+02
152             	3.09571552e+02
153             	3.09594029e+02
154             	3.09616523e+02
155             	3.09638749e+02
156             	3.09661027e+02
157             	3.09682849e+02
158             	3.09703601e+02
159             	3.09723868e+02
160             	3.09744879e+02
161             	3.09764485e+02
162             	3.09782539e+02
163             	3.09801004e+02
164             	3.09819351e+02
165             	3.09837045e+02
166             	3.09854347e+02
167             	3.09871362e+02
168             	3.09888154e+02
169             	3.09905069e+02
170             	3.09921819e+02
171             	3.09938242e+02
172             	3.09955390e+02
173             	3.09972723e+02
174             	3.09989455e+02
175             	3.10005502e+02
176             	3.10020864e+02
177             	3.10036481e+02
178             	3.10051934e+02
179             	3.10067005e+02
180             	3.10081431e+02
181             	3.10095149e+02
182             	3.10108456e+02
183             	3.10121944e+02
184             	3.10135066e+02
185             	3.10147691e+02
186             	3.10160170e+02
187             	3.10172732e+02
188             	3.10185157e+02
189             	3.10198018e+02
190             	3.10211513e+02
191             	3.10224658e+02
192             	3.10237538e+02
193             	3.10250063e+02
194             	3.10262197e+02
195             	3.10273727e+02
196             	3.10284396e+02
197             	3.10294850e+02
198             	3.10305895e+02
199             	3.10317018e+02
200             	3.10328179e+02
201             	3.10339182e+02
202             	3.10350000e+02
203             	3.10360967e+02
204             	3.10370048e+02
205             	3.10378005e+02
206             	3.10386261e+02
207             	3.10394979e+02
208             	3.10404037e+02
209             	3.10413025e+02
210             	3.10421884e+02
211             	3.10432240e+02
212             	3.10442601e+02
213             	3.10452459e+02
214             	3.10461563e+02
215             	3.10469805e+02
216             	3.10477204e+02
217             	3.10484295e+02
218             	3.10491626e+02
219             	3.10499084e+02
220             	3.10505907e+02
221             	3.10512569e+02
222             	3.10519425e+02
223             	3.10526464e+02
224             	3.10533553e+02
225             	3.10540756e+02
226             	3.10547866e+02
227             	3.10554351e+02
228             	3.10561107e+02
229             	3.10567822e+02
