# Region        : cellZone fluid
# Cells         : 8984
# Volume        : 1.69310043e+01
# Time          	volAverage(T)
1               	2.99999886e+02
2               	2.99999892e+02
3               	3.00000247e+02
4               	3.00000833e+02
5               	3.00001143e+02
6               	3.00001580e+02
7               	3.00001934e+02
8               	3.00002307e+02
9               	3.00002840e+02
10              	3.00003389e+02
11              	3.00003887e+02
12              	3.00004480e+02
13              	3.00005386e+02
14              	3.00006470e+02
15              	3.00007660e+02
16              	3.00008610e+02
17              	3.00009356e+02
18              	3.00009993e+02
19              	3.00010777e+02
20              	3.00011541e+02
21              	3.00012194e+02
22              	3.00013308e+02
23              	3.00013792e+02
24              	3.00014540e+02
25              	3.00015379e+02
26              	3.00015964e+02
27              	3.00016648e+02
28              	3.00017409e+02
29              	3.00018045e+02
30              	3.00018870e+02
31              	3.00020077e+02
32              	3.00021646e+02
33              	3.00023324e+02
34              	3.00024693e+02
35              	3.00025629e+02
36              	3.00027208e+02
37              	3.00028129e+02
38              	3.00029052e+02
39              	3.00029995e+02
40              	3.00030967e+02
41              	3.00032124e+02
42              	3.00033204e+02
43              	3.00034661e+02
44              	3.00035978e+02
45              	3.00037313e+02
46              	3.00038574e+02
47              	3.00040144e+02
48              	3.00041477e+02
49              	3.00042727e+02
50              	3.00043343e+02
51              	3.00044105e+02
52              	3.00045392e+02
53              	3.00046587e+02
54              	3.00048622e+02
55              	3.00050338e+02
56              	3.00051618e+02
57              	3.00053358e+02
58              	3.00053694e+02
59              	3.00054972e+02
60              	3.00054754e+02
61              	3.00054908e+02
62              	3.00055641e+02
63              	3.00056586e+02
64              	3.00057614e+02
65              	3.00058768e+02
66              	3.00060944e+02
67              	3.00063065e+02
68              	3.00064508e+02
69              	3.00066285e+02
70              	3.00067857e+02
71              	3.00068816e+02
72              	3.00071325e+02
73              	3.00072299e+02
74              	3.00074413e+02
75              	3.00074991e+02
76              	3.00074746e+02
77              	3.00074940e+02
78              	3.00075260e+02
79              	3.00075545e+02
80              	3.00076928e+02
81              	3.00078463e+02
82              	3.00079755e+02
83              	3.00081295e+02
84              	3.00082545e+02
85              	3.00084531e+02
86              	3.00086016e+02
87              	3.00088537e+02
88              	3.00089894e+02
89              	3.00091474e+02
90              	3.00092525e+02
91              	3.00093855e+02
92              	3.00094552e+02
93              	3.00096795e+02
94              	3.00098460e+02
95              	3.00099054e+02
96              	3.00100347e+02
97              	3.00101595e+02
98              	3.00101668e+02
99              	3.00102697e+02
100             	3.00103628e+02
101             	3.00104392e+02
102             	3.00104450e+02
103             	3.00104844e+02
104             	3.00106445e+02
105             	3.00108228e+02
106             	3.00110008e+02
107             	3.00111643e+02
108             	3.00112997e+02
109             	3.00114673e+02
110             	3.00115818e+02
111             	3.00116973e+02
112             	3.00118499e+02
113             	3.00119065e+02
114             	3.00120064e+02
115             	3.00121487e+02
116             	3.00122988e+02
117             	3.00123842e+02
118             	3.00124632e+02
119             	3.00125342e+02
120             	3.00126364e+02
121             	3.00127761e+02
122             	3.00129171e+02
123             	3.00129933e+02
124             	3.00130406e+02
125             	3.00130514e+02
126             	3.00131534e+02
127             	3.00132580e+02
128             	3.00133221e+02
129             	3.00134410e+02
130             	3.00135713e+02
131             	3.00137006e+02
132             	3.00138412e+02
133             	3.00139690e+02
134             	3.00141208e+02
135             	3.00142488e+02
136             	3.00141963e+02
137             	3.00142695e+02
138             	3.00143152e+02
139             	3.00142949e+02
140             	3.00143169e+02
141             	3.00142898e+02
142             	3.00142961e+02
143             	3.00143575e+02
144             	3.00144707e+02
145             	3.00146242e+02
146             	3.00147176e+02
147             	3.00147864e+02
148             	3.00149960e+02
149             	3.00151506e+02
150             	3.00153277e+02
151             	3.00153207e+02
152             	3.00153447e+02
153             	3.00152664e+02
154             	3.00152902e+02
155             	3.00152380e+02
156             	3.00151498e+02
157             	3.00150757e+02
158             	3.00150203e+02
159             	3.00149549e+02
160             	3.00149244e+02
161             	3.00148865e+02
162             	3.00148531e+02
163             	3.00148145e+02
164             	3.00147751e+02
165             	3.00148353e+02
166             	3.00148921e+02
167             	3.00149532e+02
168             	3.00149651e+02
169             	3.00150342e+02
170             	3.00150808e+02
171             	3.00151779e+02
172             	3.00151570e+02
173             	3.00151567e+02
174             	3.00153150e+02
175             	3.00154147e+02
176             	3.00154652e+02
177             	3.00155221e+02
178             	3.00155885e+02
179             	3.00156658e+02
180             	3.00157661e+02
181             	3.00158553e+02
182             	3.00159113e+02
183             	3.00159381e+02
184             	3.00159377e+02
185             	3.00159543e+02
186             	3.00159798e+02
187             	3.00160471e+02
188             	3.00160333e+02
189             	3.00161207e+02
190             	3.00161344e+02
191             	3.00161830e+02
192             	3.00161721e+02
193             	3.00161841e+02
194             	3.00161858e+02
195             	3.00161809e+02
196             	3.00161626e+02
197             	3.00161467e+02
198             	3.00160840e+02
199             	3.00159111e+02
200             	3.00158745e+02
201             	3.00157623e+02
202             	3.00156570e+02
203             	3.00155921e+02
204             	3.00154830e+02
205             	3.00154095e+02
206             	3.00153448e+02
207             	3.00153104e+02
208             	3.00153265e+02
209             	3.00152991e+02
210             	3.00153102e+02
211             	3.00152870e+02
212             	3.00152348e+02
213             	3.00151738e+02
214             	3.00151584e+02
