# Region        : cellZone component_3
# Cells         : 272
# Volume        : 5.89905686e-01
# Time          	volAverage(T)
1               	3.00240065e+02
2               	3.00477453e+02
3               	3.00693127e+02
4               	3.00893596e+02
5               	3.01087506e+02
6               	3.01278082e+02
7               	3.01465272e+02
8               	3.01648868e+02
9               	3.01829289e+02
10              	3.02007360e+02
11              	3.02183886e+02
12              	3.02362384e+02
13              	3.02532272e+02
14              	3.02694157e+02
15              	3.02853838e+02
16              	3.03012013e+02
17              	3.03171695e+02
18              	3.03330028e+02
19              	3.03488132e+02
20              	3.03641942e+02
21              	3.03790232e+02
22              	3.03930182e+02
23              	3.04064418e+02
24              	3.04193322e+02
25              	3.04319522e+02
26              	3.04442027e+02
27              	3.04564165e+02
28              	3.04683951e+02
29              	3.04802328e+02
30              	3.04924076e+02
31              	3.05055460e+02
32              	3.05178692e+02
33              	3.05294028e+02
34              	3.05402547e+02
35              	3.05508778e+02
36              	3.05613273e+02
37              	3.05715686e+02
38              	3.05815879e+02
39              	3.05910910e+02
40              	3.06003076e+02
41              	3.06094436e+02
42              	3.06184185e+02
43              	3.06274793e+02
44              	3.06367930e+02
45              	3.06465941e+02
46              	3.06566200e+02
47              	3.06666085e+02
48              	3.06764270e+02
49              	3.06858499e+02
50              	3.06948522e+02
51              	3.07033928e+02
52              	3.07115313e+02
53              	3.07192684e+02
54              	3.07267995e+02
55              	3.07342582e+02
56              	3.07419353e+02
57              	3.07498498e+02
58              	3.07580402e+02
59              	3.07666266e+02
60              	3.07750496e+02
61              	3.07828533e+02
62              	3.07903525e+02
63              	3.07973414e+02
64              	3.08038567e+02
65              	3.08100105e+02
66              	3.08155151e+02
67              	3.08209640e+02
68              	3.08264537e+02
69              	3.08321003e+02
70              	3.08379995e+02
71              	3.08441073e+02
72              	3.08504025e+02
73              	3.08555125e+02
74              	3.08598097e+02
75              	3.08639607e+02
76              	3.08679682e+02
77              	3.08716440e+02
78              	3.08750173e+02
79              	3.08782498e+02
80              	3.08814860e+02
81              	3.08847259e+02
82              	3.08882908e+02
83              	3.08919436e+02
84              	3.08955942e+02
85              	3.08993451e+02
86              	3.09031952e+02
87              	3.09072451e+02
88              	3.09114296e+02
89              	3.09156975e+02
90              	3.09200782e+02
91              	3.09245394e+02
