# Region        : cellZone pcb
# Cells         : 528
# Volume        : 1.00121550e+00
# Time          	volAverage(T)
1               	3.00009279e+02
2               	3.00026898e+02
3               	3.00051395e+02
4               	3.00081506e+02
5               	3.00115125e+02
6               	3.00152324e+02
7               	3.00193367e+02
8               	3.00238253e+02
9               	3.00287479e+02
10              	3.00338609e+02
11              	3.00392542e+02
12              	3.00449633e+02
13              	3.00509787e+02
14              	3.00571369e+02
15              	3.00635705e+02
16              	3.00699263e+02
17              	3.00763466e+02
18              	3.00829205e+02
19              	3.00895237e+02
20              	3.00963070e+02
21              	3.01029741e+02
22              	3.01097907e+02
23              	3.01166192e+02
24              	3.01234800e+02
25              	3.01305362e+02
26              	3.01377271e+02
27              	3.01449053e+02
28              	3.01520250e+02
29              	3.01591661e+02
30              	3.01664075e+02
31              	3.01736864e+02
32              	3.01809782e+02
33              	3.01882738e+02
34              	3.01956199e+02
35              	3.02029318e+02
36              	3.02101206e+02
37              	3.02171827e+02
38              	3.02239998e+02
39              	3.02305973e+02
40              	3.02373040e+02
41              	3.02438118e+02
42              	3.02501866e+02
43              	3.02567079e+02
44              	3.02632926e+02
45              	3.02698486e+02
46              	3.02764323e+02
47              	3.02830337e+02
48              	3.02895694e+02
49              	3.02959285e+02
50              	3.03020718e+02
51              	3.03081017e+02
52              	3.03139159e+02
53              	3.03195928e+02
54              	3.03252074e+02
55              	3.03305696e+02
56              	3.03357739e+02
57              	3.03406331e+02
58              	3.03453716e+02
59              	3.03503515e+02
60              	3.03554191e+02
61              	3.03604913e+02
62              	3.03653897e+02
63              	3.03703245e+02
64              	3.03752052e+02
65              	3.03800446e+02
66              	3.03847240e+02
67              	3.03893572e+02
68              	3.03938963e+02
69              	3.03981461e+02
70              	3.04022979e+02
71              	3.04063272e+02
72              	3.04101150e+02
73              	3.04136625e+02
74              	3.04176102e+02
75              	3.04216417e+02
76              	3.04257207e+02
77              	3.04290925e+02
78              	3.04326079e+02
79              	3.04362441e+02
80              	3.04396051e+02
81              	3.04428443e+02
82              	3.04459752e+02
83              	3.04490879e+02
84              	3.04522476e+02
85              	3.04553804e+02
86              	3.04585277e+02
87              	3.04615322e+02
88              	3.04641567e+02
89              	3.04669551e+02
90              	3.04697115e+02
91              	3.04723654e+02
92              	3.04749194e+02
93              	3.04774278e+02
94              	3.04801833e+02
95              	3.04829205e+02
96              	3.04855381e+02
97              	3.04880877e+02
98              	3.04907285e+02
99              	3.04932461e+02
100             	3.04954905e+02
101             	3.04975812e+02
102             	3.04993649e+02
103             	3.05012962e+02
104             	3.05032780e+02
105             	3.05051114e+02
106             	3.05069988e+02
107             	3.05091386e+02
108             	3.05113893e+02
109             	3.05136113e+02
110             	3.05157518e+02
111             	3.05178309e+02
112             	3.05196015e+02
113             	3.05213902e+02
114             	3.05229519e+02
115             	3.05244199e+02
116             	3.05258103e+02
117             	3.05272283e+02
118             	3.05287367e+02
119             	3.05304406e+02
120             	3.05323022e+02
121             	3.05342296e+02
122             	3.05360223e+02
123             	3.05376676e+02
124             	3.05391397e+02
125             	3.05406017e+02
126             	3.05420181e+02
127             	3.05433683e+02
128             	3.05447614e+02
129             	3.05463019e+02
130             	3.05476558e+02
131             	3.05487385e+02
132             	3.05497560e+02
133             	3.05508308e+02
134             	3.05520920e+02
135             	3.05534508e+02
136             	3.05548002e+02
137             	3.05561376e+02
138             	3.05573701e+02
139             	3.05586024e+02
140             	3.05598438e+02
141             	3.05610108e+02
142             	3.05621414e+02
143             	3.05632543e+02
144             	3.05643972e+02
145             	3.05655778e+02
146             	3.05665837e+02
147             	3.05673413e+02
148             	3.05680431e+02
149             	3.05688178e+02
150             	3.05696942e+02
151             	3.05706463e+02
152             	3.05715396e+02
153             	3.05724180e+02
154             	3.05734108e+02
155             	3.05743346e+02
156             	3.05751850e+02
157             	3.05761127e+02
158             	3.05769967e+02
159             	3.05778574e+02
160             	3.05786935e+02
161             	3.05795775e+02
162             	3.05801979e+02
163             	3.05808717e+02
164             	3.05813733e+02
165             	3.05820097e+02
166             	3.05825309e+02
167             	3.05830991e+02
168             	3.05837264e+02
169             	3.05844317e+02
170             	3.05850313e+02
171             	3.05856001e+02
172             	3.05863796e+02
173             	3.05871532e+02
174             	3.05878768e+02
175             	3.05885288e+02
176             	3.05891982e+02
177             	3.05899456e+02
178             	3.05907237e+02
179             	3.05911732e+02
180             	3.05914709e+02
181             	3.05917234e+02
182             	3.05921021e+02
183             	3.05925218e+02
184             	3.05929937e+02
185             	3.05935073e+02
186             	3.05940782e+02
187             	3.05946630e+02
188             	3.05952650e+02
189             	3.05960068e+02
190             	3.05966124e+02
191             	3.05970362e+02
192             	3.05974138e+02
193             	3.05977574e+02
194             	3.05981270e+02
195             	3.05984708e+02
196             	3.05988331e+02
197             	3.05992168e+02
198             	3.05996198e+02
199             	3.06000461e+02
200             	3.06004211e+02
201             	3.06008130e+02
202             	3.06012494e+02
203             	3.06016947e+02
204             	3.06021229e+02
205             	3.06025038e+02
206             	3.06028519e+02
207             	3.06031549e+02
208             	3.06033997e+02
209             	3.06036349e+02
210             	3.06038377e+02
211             	3.06040877e+02
212             	3.06044217e+02
213             	3.06048267e+02
214             	3.06053109e+02
215             	3.06058106e+02
216             	3.06062154e+02
217             	3.06066359e+02
218             	3.06070109e+02
219             	3.06073670e+02
220             	3.06076681e+02
221             	3.06079229e+02
222             	3.06081416e+02
223             	3.06083822e+02
224             	3.06086475e+02
225             	3.06088555e+02
226             	3.06090718e+02
227             	3.06093244e+02
228             	3.06096350e+02
229             	3.06099396e+02
230             	3.06102170e+02
231             	3.06105175e+02
232             	3.06108146e+02
233             	3.06111474e+02
234             	3.06114785e+02
235             	3.06118003e+02
236             	3.06120805e+02
237             	3.06123109e+02
238             	3.06124916e+02
239             	3.06126507e+02
240             	3.06127962e+02
241             	3.06129424e+02
242             	3.06131026e+02
243             	3.06132928e+02
244             	3.06135122e+02
245             	3.06137916e+02
246             	3.06141216e+02
247             	3.06145476e+02
248             	3.06149031e+02
249             	3.06151734e+02
250             	3.06153738e+02
251             	3.06155609e+02
252             	3.06157230e+02
253             	3.06158535e+02
254             	3.06159971e+02
255             	3.06161336e+02
256             	3.06162752e+02
257             	3.06164187e+02
258             	3.06165575e+02
259             	3.06166819e+02
260             	3.06168402e+02
261             	3.06169395e+02
262             	3.06170452e+02
263             	3.06171607e+02
264             	3.06172948e+02
265             	3.06174261e+02
266             	3.06175696e+02
267             	3.06176998e+02
268             	3.06178442e+02
269             	3.06179889e+02
270             	3.06181486e+02
271             	3.06183089e+02
272             	3.06184821e+02
273             	3.06186549e+02
274             	3.06188324e+02
275             	3.06189970e+02
276             	3.06191612e+02
277             	3.06193124e+02
278             	3.06194651e+02
279             	3.06196048e+02
280             	3.06197432e+02
281             	3.06198651e+02
282             	3.06199817e+02
283             	3.06201028e+02
284             	3.06202224e+02
285             	3.06203358e+02
286             	3.06204419e+02
287             	3.06205365e+02
288             	3.06206132e+02
289             	3.06206746e+02
