# Region        : cellZone fluid
# Cells         : 9226
# Volume        : 1.78599583e+01
# Time          	volAverage(T)
1               	2.99999917e+02
2               	2.99999942e+02
3               	3.00000262e+02
4               	3.00000787e+02
5               	3.00001080e+02
6               	3.00001410e+02
7               	3.00001695e+02
8               	3.00002221e+02
9               	3.00002642e+02
10              	3.00003322e+02
11              	3.00003860e+02
12              	3.00004547e+02
13              	3.00005379e+02
14              	3.00006116e+02
15              	3.00006893e+02
16              	3.00007529e+02
17              	3.00008109e+02
18              	3.00008973e+02
19              	3.00009910e+02
20              	3.00010786e+02
21              	3.00011763e+02
22              	3.00012634e+02
23              	3.00013922e+02
24              	3.00015108e+02
25              	3.00016341e+02
26              	3.00017360e+02
27              	3.00017980e+02
28              	3.00018685e+02
29              	3.00019737e+02
30              	3.00020516e+02
31              	3.00021226e+02
32              	3.00021768e+02
33              	3.00022446e+02
34              	3.00023118e+02
35              	3.00024236e+02
36              	3.00025486e+02
37              	3.00026901e+02
38              	3.00028183e+02
39              	3.00029509e+02
40              	3.00031039e+02
41              	3.00032925e+02
42              	3.00034759e+02
43              	3.00036892e+02
44              	3.00038712e+02
45              	3.00039802e+02
46              	3.00040777e+02
47              	3.00041705e+02
48              	3.00042831e+02
49              	3.00043982e+02
50              	3.00045568e+02
51              	3.00047413e+02
52              	3.00049383e+02
53              	3.00051512e+02
54              	3.00053134e+02
55              	3.00054749e+02
56              	3.00056248e+02
57              	3.00057404e+02
58              	3.00058467e+02
59              	3.00059623e+02
60              	3.00060731e+02
61              	3.00061799e+02
62              	3.00063195e+02
63              	3.00064784e+02
64              	3.00066373e+02
65              	3.00067871e+02
66              	3.00069527e+02
67              	3.00071128e+02
68              	3.00072531e+02
69              	3.00073783e+02
70              	3.00075060e+02
71              	3.00076462e+02
72              	3.00077954e+02
73              	3.00079572e+02
74              	3.00080632e+02
75              	3.00081814e+02
76              	3.00082826e+02
77              	3.00083890e+02
78              	3.00084701e+02
79              	3.00085622e+02
80              	3.00086365e+02
81              	3.00086987e+02
82              	3.00087568e+02
83              	3.00088107e+02
84              	3.00088927e+02
85              	3.00090281e+02
86              	3.00090945e+02
87              	3.00091893e+02
88              	3.00092917e+02
89              	3.00094079e+02
90              	3.00095479e+02
91              	3.00096886e+02
92              	3.00098779e+02
93              	3.00099527e+02
94              	3.00100177e+02
95              	3.00101501e+02
96              	3.00102350e+02
97              	3.00102996e+02
98              	3.00103429e+02
99              	3.00104245e+02
100             	3.00104812e+02
101             	3.00105527e+02
102             	3.00106136e+02
103             	3.00107301e+02
104             	3.00107562e+02
105             	3.00108150e+02
106             	3.00109696e+02
107             	3.00110133e+02
108             	3.00111052e+02
109             	3.00111887e+02
110             	3.00112770e+02
111             	3.00113392e+02
112             	3.00113993e+02
113             	3.00114263e+02
114             	3.00115051e+02
115             	3.00115640e+02
116             	3.00116187e+02
117             	3.00116773e+02
118             	3.00117374e+02
119             	3.00118137e+02
120             	3.00119007e+02
121             	3.00119495e+02
122             	3.00120430e+02
123             	3.00121089e+02
124             	3.00121626e+02
125             	3.00122223e+02
126             	3.00122812e+02
127             	3.00123454e+02
128             	3.00124202e+02
129             	3.00125047e+02
130             	3.00126068e+02
131             	3.00127131e+02
132             	3.00128033e+02
133             	3.00128885e+02
134             	3.00129321e+02
135             	3.00129741e+02
136             	3.00129863e+02
137             	3.00130511e+02
138             	3.00131072e+02
139             	3.00131705e+02
140             	3.00132389e+02
141             	3.00133309e+02
142             	3.00133595e+02
143             	3.00134525e+02
144             	3.00135526e+02
145             	3.00135642e+02
146             	3.00135639e+02
147             	3.00135715e+02
148             	3.00135876e+02
149             	3.00136086e+02
150             	3.00136246e+02
151             	3.00136742e+02
152             	3.00137071e+02
153             	3.00137463e+02
154             	3.00138085e+02
155             	3.00138816e+02
156             	3.00138738e+02
157             	3.00139088e+02
158             	3.00139164e+02
159             	3.00139326e+02
160             	3.00139243e+02
161             	3.00139213e+02
162             	3.00139170e+02
163             	3.00139148e+02
164             	3.00139727e+02
165             	3.00140661e+02
166             	3.00141098e+02
167             	3.00141118e+02
168             	3.00141218e+02
169             	3.00141365e+02
170             	3.00141636e+02
171             	3.00141879e+02
172             	3.00142041e+02
173             	3.00142035e+02
174             	3.00142540e+02
175             	3.00142902e+02
176             	3.00143335e+02
177             	3.00143430e+02
178             	3.00143884e+02
179             	3.00144300e+02
180             	3.00144790e+02
181             	3.00144985e+02
182             	3.00145105e+02
183             	3.00145149e+02
184             	3.00145167e+02
185             	3.00145144e+02
186             	3.00145151e+02
187             	3.00145166e+02
188             	3.00145593e+02
189             	3.00145478e+02
190             	3.00145497e+02
191             	3.00145591e+02
192             	3.00145861e+02
193             	3.00146084e+02
194             	3.00146216e+02
195             	3.00146443e+02
196             	3.00146818e+02
197             	3.00147108e+02
198             	3.00147396e+02
199             	3.00147658e+02
200             	3.00147907e+02
201             	3.00148251e+02
202             	3.00148575e+02
203             	3.00148933e+02
204             	3.00149241e+02
205             	3.00149600e+02
206             	3.00149923e+02
207             	3.00150183e+02
208             	3.00150446e+02
209             	3.00150676e+02
210             	3.00150901e+02
