# Region        : cellZone pcb
# Cells         : 384
# Volume        : 6.28578277e-01
# Time          	volAverage(T)
1               	3.00019183e+02
2               	3.00055840e+02
3               	3.00106651e+02
4               	3.00169554e+02
5               	3.00242247e+02
6               	3.00324108e+02
7               	3.00414360e+02
8               	3.00512265e+02
9               	3.00617614e+02
10              	3.00730243e+02
11              	3.00849617e+02
12              	3.00972018e+02
13              	3.01098739e+02
14              	3.01229212e+02
15              	3.01363053e+02
16              	3.01499888e+02
17              	3.01639200e+02
18              	3.01780840e+02
19              	3.01924666e+02
20              	3.02071027e+02
21              	3.02219459e+02
22              	3.02369728e+02
23              	3.02522203e+02
24              	3.02675172e+02
25              	3.02828291e+02
26              	3.02980374e+02
27              	3.03132377e+02
28              	3.03284044e+02
29              	3.03434465e+02
30              	3.03584335e+02
31              	3.03734773e+02
32              	3.03885449e+02
33              	3.04038728e+02
34              	3.04188050e+02
35              	3.04335857e+02
36              	3.04483957e+02
37              	3.04633544e+02
38              	3.04778963e+02
39              	3.04920813e+02
40              	3.05058560e+02
41              	3.05196156e+02
42              	3.05331532e+02
43              	3.05463604e+02
44              	3.05591429e+02
45              	3.05718316e+02
46              	3.05846873e+02
47              	3.05976241e+02
48              	3.06101339e+02
49              	3.06225505e+02
50              	3.06345705e+02
51              	3.06462232e+02
52              	3.06575989e+02
53              	3.06686476e+02
54              	3.06796379e+02
55              	3.06905656e+02
56              	3.07011447e+02
57              	3.07112657e+02
58              	3.07211371e+02
59              	3.07308221e+02
60              	3.07405541e+02
61              	3.07504103e+02
62              	3.07598583e+02
63              	3.07691318e+02
64              	3.07779395e+02
65              	3.07861259e+02
66              	3.07942853e+02
67              	3.08025403e+02
68              	3.08106416e+02
69              	3.08181528e+02
70              	3.08252876e+02
71              	3.08322578e+02
72              	3.08389500e+02
73              	3.08458268e+02
74              	3.08524588e+02
75              	3.08588900e+02
76              	3.08653476e+02
77              	3.08716969e+02
78              	3.08777489e+02
79              	3.08836195e+02
80              	3.08898595e+02
81              	3.08961318e+02
82              	3.09020265e+02
83              	3.09074411e+02
84              	3.09126411e+02
85              	3.09180381e+02
86              	3.09233439e+02
87              	3.09282146e+02
88              	3.09329345e+02
89              	3.09374415e+02
90              	3.09420826e+02
91              	3.09467473e+02
92              	3.09514565e+02
93              	3.09563258e+02
94              	3.09612307e+02
95              	3.09661228e+02
96              	3.09711223e+02
97              	3.09759614e+02
98              	3.09803090e+02
99              	3.09843668e+02
100             	3.09881652e+02
101             	3.09920874e+02
102             	3.09959424e+02
103             	3.09995936e+02
104             	3.10031147e+02
105             	3.10068196e+02
106             	3.10109980e+02
107             	3.10155628e+02
108             	3.10199445e+02
109             	3.10240926e+02
110             	3.10282187e+02
111             	3.10325290e+02
112             	3.10363769e+02
113             	3.10399103e+02
114             	3.10435618e+02
115             	3.10470140e+02
116             	3.10503289e+02
117             	3.10535151e+02
118             	3.10567583e+02
119             	3.10601618e+02
120             	3.10637577e+02
121             	3.10672369e+02
122             	3.10703003e+02
123             	3.10732400e+02
124             	3.10762455e+02
125             	3.10788209e+02
126             	3.10815655e+02
127             	3.10845117e+02
128             	3.10875467e+02
129             	3.10903868e+02
130             	3.10929840e+02
131             	3.10955106e+02
132             	3.10981755e+02
133             	3.11011197e+02
134             	3.11035809e+02
135             	3.11063876e+02
136             	3.11088712e+02
137             	3.11107299e+02
138             	3.11130147e+02
139             	3.11155267e+02
140             	3.11178901e+02
141             	3.11203163e+02
142             	3.11229111e+02
143             	3.11254468e+02
144             	3.11277161e+02
145             	3.11296479e+02
146             	3.11314679e+02
147             	3.11335147e+02
148             	3.11354049e+02
149             	3.11370252e+02
150             	3.11388200e+02
151             	3.11406845e+02
152             	3.11427382e+02
153             	3.11448503e+02
154             	3.11470527e+02
155             	3.11494818e+02
156             	3.11515390e+02
157             	3.11535389e+02
158             	3.11556007e+02
159             	3.11574331e+02
160             	3.11592260e+02
161             	3.11608798e+02
162             	3.11623087e+02
163             	3.11637480e+02
164             	3.11654677e+02
165             	3.11671225e+02
166             	3.11687745e+02
167             	3.11704421e+02
168             	3.11721688e+02
169             	3.11739703e+02
170             	3.11757852e+02
171             	3.11776456e+02
172             	3.11794743e+02
173             	3.11814686e+02
174             	3.11833830e+02
175             	3.11849305e+02
176             	3.11863822e+02
177             	3.11878273e+02
178             	3.11892583e+02
179             	3.11906132e+02
180             	3.11918785e+02
181             	3.11930596e+02
182             	3.11942938e+02
183             	3.11957493e+02
184             	3.11970522e+02
185             	3.11983760e+02
186             	3.11997730e+02
187             	3.12012106e+02
188             	3.12027678e+02
189             	3.12044764e+02
190             	3.12061678e+02
191             	3.12079083e+02
192             	3.12094958e+02
193             	3.12110841e+02
194             	3.12125188e+02
195             	3.12141129e+02
196             	3.12155700e+02
197             	3.12169521e+02
198             	3.12180756e+02
199             	3.12189482e+02
200             	3.12198701e+02
201             	3.12207997e+02
202             	3.12217098e+02
203             	3.12226094e+02
204             	3.12236663e+02
205             	3.12247749e+02
206             	3.12259706e+02
207             	3.12271664e+02
208             	3.12284778e+02
209             	3.12296259e+02
210             	3.12308190e+02
211             	3.12319272e+02
212             	3.12331903e+02
213             	3.12343253e+02
214             	3.12353560e+02
215             	3.12363399e+02
216             	3.12373944e+02
217             	3.12383291e+02
218             	3.12392345e+02
219             	3.12400160e+02
220             	3.12408417e+02
221             	3.12415763e+02
222             	3.12424469e+02
223             	3.12433091e+02
224             	3.12442821e+02
225             	3.12451697e+02
226             	3.12462048e+02
227             	3.12473735e+02
228             	3.12484944e+02
229             	3.12495774e+02
230             	3.12503993e+02
231             	3.12510927e+02
232             	3.12518289e+02
233             	3.12526397e+02
234             	3.12532550e+02
235             	3.12539883e+02
236             	3.12546103e+02
237             	3.12552757e+02
238             	3.12559091e+02
239             	3.12565790e+02
240             	3.12572233e+02
241             	3.12578641e+02
242             	3.12584292e+02
243             	3.12590986e+02
244             	3.12597606e+02
245             	3.12604354e+02
246             	3.12610890e+02
247             	3.12618201e+02
248             	3.12625531e+02
249             	3.12632113e+02
250             	3.12637926e+02
251             	3.12643770e+02
252             	3.12649385e+02
253             	3.12653982e+02
254             	3.12658726e+02
255             	3.12662080e+02
256             	3.12666023e+02
257             	3.12669700e+02
258             	3.12673619e+02
259             	3.12677619e+02
260             	3.12681667e+02
261             	3.12685209e+02
262             	3.12689551e+02
263             	3.12693592e+02
264             	3.12698716e+02
265             	3.12703913e+02
266             	3.12709068e+02
267             	3.12714073e+02
268             	3.12718572e+02
269             	3.12724455e+02
270             	3.12729793e+02
271             	3.12733369e+02
272             	3.12738165e+02
273             	3.12742404e+02
274             	3.12747094e+02
275             	3.12751288e+02
276             	3.12755715e+02
277             	3.12759472e+02
278             	3.12763589e+02
279             	3.12767048e+02
280             	3.12771463e+02
281             	3.12775621e+02
282             	3.12777846e+02
283             	3.12781267e+02
284             	3.12784276e+02
285             	3.12787692e+02
286             	3.12791631e+02
287             	3.12794208e+02
288             	3.12797715e+02
289             	3.12800669e+02
290             	3.12804088e+02
291             	3.12807099e+02
292             	3.12810496e+02
293             	3.12812742e+02
294             	3.12815495e+02
295             	3.12818217e+02
296             	3.12821022e+02
297             	3.12823569e+02
298             	3.12826137e+02
299             	3.12828051e+02
300             	3.12830389e+02
301             	3.12832340e+02
302             	3.12834652e+02
303             	3.12836479e+02
304             	3.12838959e+02
305             	3.12840906e+02
306             	3.12843422e+02
307             	3.12845121e+02
308             	3.12847304e+02
309             	3.12849221e+02
310             	3.12851806e+02
311             	3.12854501e+02
312             	3.12856619e+02
313             	3.12860296e+02
314             	3.12861708e+02
315             	3.12864382e+02
316             	3.12866530e+02
317             	3.12869846e+02
318             	3.12872114e+02
319             	3.12874765e+02
320             	3.12875900e+02
321             	3.12878086e+02
322             	3.12879139e+02
323             	3.12879928e+02
324             	3.12881121e+02
325             	3.12881969e+02
326             	3.12882337e+02
327             	3.12882899e+02
328             	3.12884621e+02
329             	3.12885717e+02
330             	3.12887845e+02
331             	3.12889026e+02
332             	3.12891733e+02
333             	3.12893324e+02
334             	3.12896204e+02
335             	3.12898002e+02
336             	3.12901130e+02
337             	3.12903168e+02
338             	3.12904371e+02
339             	3.12905664e+02
340             	3.12908108e+02
341             	3.12908847e+02
342             	3.12910528e+02
343             	3.12912509e+02
344             	3.12913848e+02
345             	3.12914926e+02
346             	3.12914940e+02
347             	3.12916072e+02
348             	3.12916566e+02
349             	3.12917981e+02
350             	3.12918730e+02
351             	3.12920387e+02
352             	3.12921333e+02
353             	3.12922002e+02
354             	3.12922420e+02
355             	3.12923356e+02
356             	3.12923904e+02
357             	3.12925458e+02
358             	3.12926277e+02
359             	3.12927605e+02
360             	3.12928259e+02
361             	3.12929812e+02
362             	3.12930340e+02
363             	3.12932070e+02
364             	3.12932648e+02
365             	3.12933948e+02
366             	3.12935003e+02
367             	3.12936145e+02
368             	3.12936822e+02
369             	3.12938661e+02
370             	3.12938671e+02
371             	3.12939266e+02
372             	3.12939718e+02
373             	3.12941099e+02
374             	3.12942367e+02
375             	3.12943735e+02
376             	3.12944428e+02
377             	3.12945235e+02
378             	3.12945953e+02
379             	3.12946694e+02
380             	3.12946917e+02
381             	3.12946647e+02
382             	3.12946990e+02
383             	3.12947292e+02
384             	3.12947724e+02
385             	3.12949042e+02
386             	3.12949447e+02
387             	3.12949735e+02
388             	3.12950436e+02
389             	3.12950882e+02
390             	3.12951780e+02
391             	3.12952339e+02
392             	3.12952221e+02
393             	3.12952623e+02
394             	3.12952870e+02
395             	3.12953040e+02
396             	3.12953602e+02
397             	3.12953883e+02
398             	3.12954489e+02
399             	3.12954693e+02
400             	3.12954851e+02
401             	3.12954095e+02
402             	3.12954209e+02
403             	3.12954361e+02
404             	3.12954551e+02
405             	3.12954666e+02
406             	3.12956092e+02
407             	3.12957433e+02
408             	3.12959336e+02
409             	3.12959480e+02
410             	3.12959949e+02
411             	3.12960974e+02
412             	3.12961947e+02
413             	3.12961768e+02
414             	3.12961500e+02
415             	3.12961045e+02
416             	3.12961779e+02
417             	3.12962668e+02
418             	3.12962878e+02
419             	3.12963064e+02
420             	3.12962820e+02
421             	3.12963764e+02
422             	3.12964076e+02
423             	3.12964130e+02
424             	3.12963129e+02
425             	3.12963433e+02
426             	3.12962881e+02
427             	3.12962320e+02
428             	3.12961485e+02
429             	3.12961454e+02
430             	3.12960670e+02
431             	3.12960285e+02
432             	3.12959798e+02
433             	3.12960306e+02
434             	3.12961461e+02
435             	3.12962131e+02
436             	3.12961676e+02
437             	3.12961400e+02
438             	3.12961212e+02
439             	3.12961630e+02
440             	3.12960502e+02
441             	3.12959544e+02
442             	3.12958800e+02
443             	3.12957970e+02
444             	3.12956454e+02
445             	3.12955019e+02
446             	3.12954861e+02
447             	3.12956483e+02
448             	3.12957616e+02
449             	3.12958209e+02
450             	3.12959071e+02
451             	3.12960305e+02
452             	3.12961484e+02
453             	3.12960222e+02
454             	3.12958748e+02
455             	3.12957746e+02
456             	3.12959524e+02
457             	3.12959228e+02
458             	3.12956652e+02
459             	3.12955907e+02
460             	3.12954904e+02
461             	3.12954081e+02
462             	3.12952031e+02
463             	3.12951926e+02
464             	3.12951892e+02
465             	3.12951858e+02
466             	3.12951790e+02
467             	3.12951652e+02
468             	3.12950832e+02
469             	3.12951351e+02
470             	3.12951074e+02
471             	3.12948454e+02
472             	3.12945946e+02
473             	3.12944165e+02
474             	3.12943705e+02
475             	3.12940776e+02
476             	3.12939837e+02
477             	3.12939112e+02
478             	3.12940120e+02
479             	3.12939932e+02
480             	3.12938958e+02
481             	3.12938199e+02
482             	3.12939112e+02
483             	3.12938548e+02
484             	3.12938585e+02
485             	3.12936852e+02
486             	3.12937046e+02
487             	3.12935834e+02
488             	3.12935761e+02
489             	3.12933470e+02
490             	3.12931184e+02
491             	3.12932000e+02
492             	3.12933883e+02
493             	3.12933808e+02
494             	3.12933327e+02
495             	3.12932197e+02
496             	3.12931635e+02
497             	3.12932012e+02
498             	3.12928715e+02
499             	3.12925673e+02
500             	3.12922483e+02
501             	3.12919542e+02
502             	3.12917253e+02
503             	3.12915030e+02
504             	3.12914126e+02
505             	3.12914690e+02
506             	3.12914234e+02
507             	3.12914264e+02
508             	3.12913741e+02
509             	3.12914157e+02
510             	3.12911914e+02
511             	3.12909367e+02
512             	3.12906532e+02
513             	3.12904981e+02
514             	3.12904635e+02
515             	3.12903516e+02
516             	3.12903120e+02
517             	3.12904079e+02
518             	3.12906391e+02
519             	3.12907168e+02
520             	3.12908517e+02
521             	3.12908676e+02
522             	3.12909089e+02
523             	3.12907475e+02
524             	3.12906521e+02
525             	3.12905345e+02
526             	3.12906200e+02
527             	3.12906452e+02
528             	3.12905805e+02
529             	3.12906419e+02
530             	3.12907559e+02
531             	3.12909263e+02
532             	3.12908861e+02
533             	3.12908026e+02
534             	3.12906784e+02
535             	3.12907451e+02
536             	3.12906747e+02
537             	3.12905585e+02
538             	3.12905559e+02
539             	3.12906173e+02
540             	3.12907833e+02
541             	3.12908308e+02
542             	3.12908834e+02
543             	3.12908056e+02
544             	3.12908587e+02
545             	3.12908204e+02
546             	3.12908338e+02
547             	3.12907931e+02
548             	3.12910244e+02
549             	3.12909995e+02
550             	3.12908517e+02
551             	3.12908508e+02
552             	3.12909012e+02
553             	3.12909589e+02
554             	3.12910594e+02
555             	3.12910590e+02
556             	3.12912735e+02
557             	3.12913786e+02
558             	3.12914496e+02
559             	3.12913870e+02
560             	3.12914449e+02
561             	3.12916340e+02
562             	3.12914739e+02
563             	3.12913887e+02
564             	3.12913332e+02
565             	3.12913593e+02
566             	3.12915321e+02
567             	3.12915890e+02
568             	3.12916824e+02
569             	3.12917287e+02
570             	3.12918833e+02
571             	3.12918820e+02
572             	3.12918688e+02
573             	3.12918435e+02
574             	3.12918310e+02
575             	3.12917396e+02
576             	3.12917610e+02
577             	3.12917294e+02
578             	3.12917706e+02
579             	3.12917866e+02
580             	3.12918480e+02
581             	3.12917497e+02
582             	3.12917796e+02
583             	3.12917392e+02
584             	3.12917421e+02
585             	3.12918382e+02
586             	3.12919057e+02
587             	3.12920912e+02
588             	3.12922683e+02
589             	3.12922570e+02
590             	3.12920855e+02
591             	3.12920431e+02
592             	3.12919531e+02
593             	3.12918221e+02
594             	3.12918954e+02
595             	3.12921758e+02
596             	3.12923410e+02
597             	3.12924360e+02
598             	3.12926027e+02
599             	3.12927142e+02
600             	3.12926282e+02
601             	3.12925274e+02
602             	3.12923350e+02
603             	3.12922363e+02
604             	3.12921969e+02
605             	3.12921978e+02
606             	3.12923819e+02
607             	3.12925068e+02
608             	3.12926967e+02
609             	3.12925945e+02
610             	3.12925754e+02
611             	3.12925121e+02
612             	3.12924742e+02
613             	3.12922939e+02
614             	3.12921190e+02
615             	3.12921897e+02
