# Region        : cellZone component_0
# Cells         : 582
# Volume        : 1.13639358e+00
# Time          	volAverage(T)
1               	3.00090869e+02
2               	3.00181009e+02
3               	3.00264390e+02
4               	3.00343529e+02
5               	3.00421153e+02
6               	3.00497121e+02
7               	3.00572235e+02
8               	3.00647391e+02
9               	3.00721527e+02
10              	3.00795728e+02
11              	3.00868403e+02
12              	3.00940667e+02
13              	3.01012534e+02
14              	3.01083685e+02
15              	3.01154007e+02
16              	3.01223698e+02
17              	3.01292620e+02
18              	3.01361814e+02
19              	3.01428541e+02
20              	3.01496173e+02
21              	3.01564470e+02
22              	3.01630629e+02
23              	3.01696776e+02
24              	3.01761671e+02
25              	3.01827225e+02
26              	3.01889410e+02
27              	3.01950844e+02
28              	3.02013414e+02
29              	3.02071885e+02
30              	3.02128950e+02
31              	3.02184897e+02
32              	3.02240645e+02
33              	3.02296516e+02
34              	3.02352238e+02
35              	3.02405363e+02
36              	3.02456020e+02
37              	3.02507129e+02
38              	3.02559138e+02
39              	3.02611691e+02
40              	3.02662193e+02
41              	3.02712214e+02
42              	3.02762967e+02
43              	3.02812582e+02
44              	3.02861197e+02
45              	3.02907805e+02
46              	3.02956485e+02
47              	3.03004742e+02
48              	3.03054256e+02
49              	3.03100458e+02
50              	3.03141416e+02
51              	3.03177965e+02
52              	3.03217948e+02
53              	3.03258743e+02
54              	3.03300481e+02
55              	3.03340982e+02
56              	3.03380967e+02
57              	3.03420566e+02
58              	3.03460024e+02
59              	3.03497957e+02
60              	3.03535596e+02
61              	3.03573732e+02
62              	3.03612437e+02
63              	3.03651258e+02
64              	3.03688503e+02
65              	3.03725487e+02
66              	3.03762540e+02
67              	3.03799069e+02
68              	3.03834915e+02
69              	3.03869669e+02
70              	3.03903733e+02
71              	3.03939093e+02
72              	3.03973433e+02
73              	3.04006466e+02
74              	3.04038119e+02
75              	3.04069477e+02
76              	3.04099129e+02
77              	3.04129245e+02
78              	3.04159851e+02
79              	3.04190587e+02
80              	3.04222084e+02
81              	3.04253155e+02
82              	3.04284316e+02
83              	3.04313694e+02
84              	3.04342539e+02
85              	3.04369614e+02
86              	3.04396165e+02
87              	3.04421453e+02
88              	3.04445496e+02
89              	3.04469500e+02
90              	3.04493236e+02
91              	3.04516767e+02
92              	3.04540080e+02
93              	3.04565622e+02
94              	3.04590219e+02
95              	3.04614939e+02
96              	3.04639971e+02
97              	3.04663915e+02
98              	3.04684550e+02
99              	3.04706416e+02
100             	3.04726981e+02
101             	3.04748273e+02
102             	3.04769023e+02
103             	3.04788693e+02
104             	3.04807684e+02
105             	3.04825967e+02
106             	3.04844582e+02
107             	3.04865253e+02
108             	3.04885560e+02
109             	3.04906917e+02
110             	3.04928775e+02
111             	3.04950040e+02
112             	3.04971111e+02
113             	3.04990733e+02
114             	3.05011130e+02
115             	3.05031923e+02
116             	3.05051865e+02
117             	3.05071021e+02
118             	3.05089833e+02
119             	3.05107712e+02
120             	3.05126034e+02
121             	3.05143999e+02
122             	3.05161812e+02
123             	3.05180272e+02
124             	3.05199582e+02
125             	3.05218921e+02
126             	3.05238001e+02
127             	3.05257284e+02
128             	3.05277126e+02
129             	3.05297007e+02
130             	3.05316239e+02
131             	3.05335001e+02
132             	3.05353232e+02
133             	3.05371802e+02
134             	3.05389405e+02
135             	3.05407018e+02
136             	3.05423398e+02
137             	3.05439915e+02
138             	3.05455505e+02
139             	3.05471044e+02
140             	3.05487744e+02
141             	3.05504163e+02
142             	3.05520264e+02
143             	3.05536790e+02
144             	3.05553520e+02
145             	3.05570796e+02
146             	3.05585922e+02
147             	3.05601332e+02
148             	3.05617359e+02
149             	3.05633299e+02
150             	3.05649113e+02
151             	3.05664703e+02
152             	3.05680236e+02
153             	3.05695700e+02
154             	3.05711406e+02
155             	3.05727491e+02
156             	3.05742779e+02
157             	3.05757593e+02
158             	3.05772359e+02
159             	3.05786154e+02
160             	3.05799212e+02
161             	3.05811986e+02
162             	3.05824786e+02
163             	3.05837084e+02
164             	3.05849478e+02
165             	3.05861666e+02
166             	3.05874517e+02
167             	3.05887278e+02
168             	3.05900568e+02
169             	3.05914132e+02
170             	3.05927595e+02
171             	3.05941433e+02
172             	3.05954348e+02
173             	3.05967514e+02
174             	3.05979963e+02
175             	3.05992121e+02
176             	3.06004196e+02
177             	3.06016430e+02
178             	3.06028973e+02
179             	3.06041162e+02
180             	3.06053354e+02
181             	3.06065464e+02
182             	3.06077224e+02
183             	3.06088942e+02
184             	3.06100593e+02
185             	3.06112020e+02
186             	3.06123202e+02
187             	3.06134051e+02
188             	3.06145166e+02
189             	3.06156072e+02
190             	3.06167403e+02
191             	3.06178997e+02
192             	3.06190214e+02
193             	3.06201580e+02
194             	3.06212505e+02
195             	3.06223544e+02
196             	3.06233843e+02
197             	3.06243965e+02
198             	3.06253509e+02
199             	3.06262974e+02
200             	3.06272295e+02
201             	3.06281748e+02
202             	3.06291150e+02
203             	3.06300518e+02
204             	3.06309894e+02
205             	3.06319234e+02
206             	3.06328549e+02
207             	3.06337790e+02
208             	3.06346942e+02
209             	3.06356177e+02
210             	3.06365199e+02
211             	3.06373969e+02
212             	3.06383084e+02
213             	3.06392287e+02
214             	3.06401458e+02
215             	3.06410424e+02
216             	3.06419263e+02
217             	3.06428118e+02
218             	3.06436940e+02
219             	3.06445508e+02
220             	3.06453682e+02
221             	3.06461558e+02
222             	3.06469153e+02
223             	3.06476758e+02
224             	3.06484259e+02
225             	3.06491700e+02
226             	3.06499046e+02
227             	3.06506287e+02
228             	3.06513508e+02
229             	3.06520751e+02
230             	3.06528119e+02
231             	3.06535488e+02
232             	3.06542911e+02
233             	3.06550296e+02
234             	3.06557662e+02
235             	3.06564991e+02
236             	3.06572361e+02
237             	3.06579674e+02
238             	3.06587143e+02
239             	3.06594467e+02
240             	3.06601901e+02
241             	3.06609374e+02
242             	3.06616651e+02
243             	3.06623635e+02
244             	3.06630440e+02
245             	3.06637071e+02
246             	3.06643491e+02
247             	3.06649870e+02
248             	3.06656388e+02
249             	3.06662826e+02
250             	3.06669297e+02
251             	3.06675749e+02
252             	3.06682161e+02
253             	3.06688532e+02
254             	3.06694891e+02
255             	3.06701334e+02
256             	3.06707850e+02
257             	3.06714345e+02
258             	3.06720635e+02
259             	3.06727039e+02
260             	3.06733414e+02
261             	3.06739746e+02
262             	3.06745964e+02
263             	3.06752016e+02
264             	3.06758037e+02
265             	3.06763983e+02
266             	3.06769946e+02
267             	3.06775816e+02
268             	3.06781574e+02
269             	3.06787281e+02
270             	3.06792976e+02
271             	3.06798578e+02
272             	3.06804085e+02
273             	3.06809541e+02
274             	3.06814840e+02
275             	3.06820225e+02
276             	3.06825469e+02
277             	3.06830626e+02
278             	3.06835771e+02
279             	3.06841074e+02
280             	3.06846409e+02
281             	3.06851725e+02
282             	3.06857006e+02
283             	3.06862152e+02
284             	3.06867352e+02
285             	3.06872508e+02
286             	3.06877633e+02
287             	3.06882737e+02
288             	3.06887754e+02
289             	3.06892800e+02
290             	3.06897762e+02
291             	3.06902595e+02
292             	3.06907364e+02
293             	3.06912080e+02
294             	3.06916755e+02
295             	3.06921397e+02
296             	3.06925872e+02
297             	3.06930407e+02
298             	3.06934958e+02
299             	3.06939430e+02
300             	3.06943879e+02
301             	3.06948243e+02
302             	3.06952511e+02
303             	3.06956840e+02
304             	3.06961091e+02
305             	3.06965493e+02
306             	3.06969929e+02
307             	3.06974281e+02
308             	3.06978746e+02
309             	3.06983114e+02
310             	3.06987562e+02
311             	3.06991952e+02
312             	3.06996208e+02
313             	3.07000496e+02
314             	3.07004666e+02
315             	3.07008782e+02
316             	3.07012847e+02
317             	3.07016941e+02
318             	3.07020953e+02
319             	3.07024883e+02
320             	3.07028727e+02
321             	3.07032452e+02
322             	3.07036230e+02
323             	3.07039998e+02
324             	3.07043713e+02
325             	3.07047475e+02
326             	3.07051194e+02
327             	3.07054897e+02
328             	3.07058551e+02
329             	3.07062091e+02
330             	3.07065580e+02
331             	3.07069067e+02
332             	3.07072497e+02
333             	3.07075875e+02
334             	3.07079235e+02
335             	3.07082562e+02
336             	3.07085903e+02
337             	3.07089208e+02
338             	3.07092427e+02
339             	3.07095651e+02
340             	3.07098817e+02
341             	3.07101941e+02
342             	3.07105049e+02
343             	3.07108205e+02
344             	3.07111272e+02
345             	3.07114390e+02
346             	3.07117510e+02
347             	3.07120512e+02
348             	3.07123530e+02
349             	3.07126515e+02
350             	3.07129419e+02
351             	3.07132274e+02
352             	3.07135112e+02
353             	3.07137883e+02
354             	3.07140599e+02
355             	3.07143271e+02
356             	3.07145888e+02
357             	3.07148461e+02
358             	3.07151028e+02
359             	3.07153595e+02
360             	3.07156163e+02
361             	3.07158693e+02
362             	3.07161196e+02
363             	3.07163663e+02
364             	3.07166101e+02
365             	3.07168539e+02
366             	3.07170946e+02
367             	3.07173363e+02
368             	3.07175770e+02
369             	3.07178155e+02
370             	3.07180538e+02
371             	3.07182935e+02
372             	3.07185267e+02
373             	3.07187592e+02
374             	3.07189882e+02
375             	3.07192150e+02
376             	3.07194472e+02
377             	3.07196767e+02
378             	3.07199131e+02
379             	3.07201419e+02
380             	3.07203746e+02
381             	3.07206074e+02
382             	3.07208412e+02
383             	3.07210744e+02
384             	3.07213044e+02
385             	3.07215305e+02
386             	3.07217547e+02
387             	3.07219787e+02
388             	3.07221957e+02
389             	3.07224075e+02
390             	3.07226186e+02
391             	3.07228264e+02
392             	3.07230343e+02
393             	3.07232400e+02
394             	3.07234439e+02
395             	3.07236484e+02
396             	3.07238509e+02
397             	3.07240517e+02
398             	3.07242513e+02
399             	3.07244488e+02
400             	3.07246434e+02
401             	3.07248405e+02
402             	3.07250304e+02
403             	3.07252190e+02
404             	3.07254049e+02
405             	3.07255865e+02
406             	3.07257651e+02
407             	3.07259402e+02
408             	3.07261181e+02
409             	3.07262950e+02
410             	3.07264662e+02
411             	3.07266376e+02
412             	3.07268100e+02
413             	3.07269805e+02
414             	3.07271495e+02
415             	3.07273157e+02
416             	3.07274792e+02
417             	3.07276407e+02
418             	3.07277989e+02
419             	3.07279562e+02
420             	3.07281089e+02
421             	3.07282627e+02
422             	3.07284133e+02
423             	3.07285637e+02
424             	3.07287140e+02
425             	3.07288646e+02
426             	3.07290143e+02
427             	3.07291627e+02
428             	3.07293084e+02
429             	3.07294510e+02
430             	3.07295915e+02
431             	3.07297311e+02
432             	3.07298693e+02
433             	3.07300116e+02
434             	3.07301474e+02
435             	3.07302804e+02
436             	3.07304113e+02
437             	3.07305433e+02
