# Region        : cellZone pcb
# Cells         : 620
# Volume        : 1.15008447e+00
# Time          	volAverage(T)
1               	3.00004198e+02
2               	3.00012114e+02
3               	3.00023089e+02
4               	3.00036998e+02
5               	3.00053096e+02
6               	3.00071540e+02
7               	3.00092263e+02
8               	3.00115541e+02
9               	3.00140809e+02
10              	3.00168261e+02
11              	3.00197529e+02
12              	3.00228806e+02
13              	3.00261691e+02
14              	3.00296226e+02
15              	3.00331888e+02
16              	3.00369114e+02
17              	3.00407648e+02
18              	3.00447715e+02
19              	3.00489049e+02
20              	3.00531671e+02
21              	3.00575662e+02
22              	3.00620819e+02
23              	3.00667332e+02
24              	3.00714771e+02
25              	3.00763193e+02
26              	3.00812204e+02
27              	3.00861398e+02
28              	3.00911426e+02
29              	3.00962050e+02
30              	3.01013986e+02
31              	3.01066875e+02
32              	3.01119706e+02
33              	3.01173115e+02
34              	3.01227394e+02
35              	3.01282075e+02
36              	3.01337516e+02
37              	3.01393307e+02
38              	3.01448828e+02
39              	3.01504772e+02
40              	3.01560817e+02
41              	3.01617222e+02
42              	3.01674339e+02
43              	3.01731291e+02
44              	3.01788220e+02
45              	3.01845547e+02
46              	3.01904168e+02
47              	3.01964009e+02
48              	3.02023518e+02
49              	3.02082602e+02
50              	3.02141106e+02
51              	3.02200079e+02
52              	3.02258929e+02
53              	3.02317796e+02
54              	3.02376256e+02
55              	3.02434252e+02
56              	3.02492921e+02
57              	3.02551515e+02
58              	3.02610227e+02
59              	3.02668605e+02
60              	3.02726584e+02
61              	3.02785561e+02
62              	3.02844678e+02
63              	3.02903475e+02
64              	3.02962279e+02
65              	3.03020941e+02
66              	3.03079628e+02
67              	3.03138411e+02
68              	3.03197563e+02
69              	3.03256428e+02
70              	3.03315389e+02
71              	3.03373652e+02
72              	3.03431369e+02
73              	3.03488794e+02
74              	3.03546297e+02
75              	3.03603686e+02
76              	3.03661036e+02
77              	3.03717651e+02
78              	3.03774186e+02
79              	3.03830320e+02
80              	3.03886185e+02
81              	3.03941946e+02
82              	3.03997120e+02
83              	3.04052032e+02
84              	3.04106853e+02
85              	3.04161826e+02
86              	3.04217048e+02
87              	3.04272243e+02
88              	3.04327306e+02
89              	3.04382170e+02
90              	3.04436777e+02
91              	3.04491238e+02
92              	3.04544623e+02
93              	3.04596676e+02
94              	3.04648145e+02
95              	3.04699266e+02
96              	3.04750117e+02
97              	3.04800837e+02
98              	3.04851625e+02
99              	3.04902417e+02
100             	3.04952832e+02
101             	3.05002873e+02
102             	3.05052459e+02
103             	3.05101891e+02
104             	3.05150784e+02
105             	3.05198917e+02
106             	3.05246600e+02
107             	3.05293790e+02
108             	3.05340865e+02
109             	3.05387489e+02
110             	3.05433736e+02
111             	3.05479826e+02
112             	3.05525682e+02
113             	3.05570896e+02
114             	3.05615650e+02
115             	3.05660274e+02
116             	3.05704636e+02
117             	3.05748399e+02
118             	3.05791923e+02
119             	3.05835056e+02
120             	3.05877755e+02
121             	3.05920064e+02
122             	3.05961855e+02
123             	3.06003084e+02
124             	3.06043827e+02
125             	3.06084049e+02
126             	3.06123548e+02
127             	3.06162369e+02
128             	3.06200617e+02
129             	3.06238473e+02
130             	3.06275899e+02
131             	3.06312948e+02
132             	3.06349687e+02
133             	3.06385952e+02
134             	3.06421948e+02
135             	3.06457766e+02
136             	3.06493338e+02
137             	3.06528910e+02
138             	3.06564426e+02
139             	3.06599718e+02
140             	3.06634681e+02
141             	3.06669046e+02
142             	3.06702810e+02
143             	3.06736288e+02
144             	3.06769516e+02
145             	3.06802297e+02
146             	3.06834580e+02
147             	3.06866716e+02
148             	3.06898534e+02
149             	3.06929887e+02
150             	3.06960708e+02
151             	3.06991196e+02
152             	3.07021372e+02
153             	3.07051271e+02
154             	3.07080698e+02
155             	3.07109595e+02
156             	3.07138306e+02
157             	3.07166675e+02
158             	3.07194647e+02
159             	3.07222258e+02
160             	3.07249545e+02
161             	3.07276551e+02
162             	3.07303271e+02
163             	3.07329708e+02
164             	3.07355901e+02
165             	3.07381957e+02
166             	3.07407804e+02
167             	3.07433434e+02
168             	3.07458826e+02
169             	3.07483937e+02
170             	3.07508692e+02
171             	3.07533073e+02
172             	3.07557154e+02
173             	3.07580941e+02
174             	3.07604512e+02
175             	3.07627739e+02
176             	3.07650804e+02
177             	3.07673510e+02
178             	3.07695925e+02
179             	3.07718019e+02
180             	3.07739867e+02
181             	3.07761400e+02
182             	3.07782674e+02
183             	3.07803722e+02
184             	3.07824559e+02
185             	3.07845092e+02
186             	3.07865421e+02
187             	3.07885525e+02
188             	3.07905471e+02
189             	3.07925189e+02
190             	3.07944718e+02
191             	3.07963976e+02
192             	3.07983025e+02
193             	3.08001823e+02
194             	3.08020412e+02
195             	3.08038746e+02
196             	3.08056877e+02
197             	3.08074763e+02
198             	3.08092466e+02
199             	3.08109940e+02
200             	3.08127207e+02
201             	3.08144251e+02
202             	3.08161088e+02
203             	3.08177705e+02
204             	3.08194081e+02
205             	3.08210220e+02
206             	3.08226157e+02
207             	3.08241895e+02
208             	3.08257393e+02
209             	3.08272799e+02
210             	3.08287932e+02
211             	3.08302893e+02
212             	3.08317641e+02
213             	3.08332291e+02
214             	3.08346764e+02
215             	3.08361140e+02
216             	3.08375286e+02
217             	3.08389312e+02
218             	3.08403144e+02
219             	3.08416856e+02
220             	3.08430351e+02
221             	3.08443644e+02
222             	3.08456808e+02
223             	3.08469822e+02
224             	3.08482667e+02
225             	3.08495352e+02
226             	3.08507869e+02
227             	3.08520222e+02
228             	3.08532399e+02
229             	3.08544405e+02
230             	3.08556244e+02
231             	3.08567880e+02
232             	3.08579363e+02
233             	3.08590734e+02
234             	3.08601892e+02
235             	3.08612915e+02
236             	3.08623821e+02
237             	3.08634603e+02
238             	3.08645291e+02
239             	3.08655889e+02
240             	3.08666392e+02
241             	3.08676732e+02
242             	3.08687046e+02
243             	3.08697215e+02
244             	3.08707292e+02
245             	3.08717226e+02
246             	3.08727038e+02
247             	3.08736690e+02
248             	3.08746222e+02
249             	3.08755615e+02
250             	3.08764929e+02
251             	3.08774088e+02
252             	3.08783139e+02
253             	3.08792057e+02
254             	3.08800870e+02
255             	3.08809557e+02
256             	3.08818152e+02
257             	3.08826615e+02
258             	3.08834992e+02
259             	3.08843254e+02
260             	3.08851443e+02
261             	3.08859535e+02
262             	3.08867555e+02
263             	3.08875471e+02
264             	3.08883314e+02
265             	3.08891052e+02
266             	3.08898669e+02
267             	3.08906234e+02
268             	3.08913689e+02
269             	3.08921058e+02
270             	3.08928333e+02
271             	3.08935521e+02
272             	3.08942617e+02
273             	3.08949638e+02
274             	3.08956567e+02
275             	3.08963406e+02
276             	3.08970158e+02
277             	3.08976833e+02
278             	3.08983422e+02
279             	3.08989936e+02
280             	3.08996374e+02
281             	3.09002748e+02
282             	3.09009044e+02
283             	3.09015268e+02
284             	3.09021438e+02
285             	3.09027520e+02
286             	3.09033542e+02
287             	3.09039492e+02
288             	3.09045391e+02
289             	3.09051215e+02
290             	3.09056987e+02
291             	3.09062666e+02
292             	3.09068301e+02
293             	3.09073858e+02
294             	3.09079363e+02
295             	3.09084778e+02
296             	3.09090126e+02
297             	3.09095380e+02
298             	3.09100623e+02
299             	3.09105753e+02
300             	3.09110818e+02
301             	3.09115792e+02
302             	3.09120730e+02
303             	3.09125597e+02
304             	3.09130442e+02
305             	3.09135228e+02
306             	3.09139990e+02
307             	3.09144689e+02
308             	3.09149368e+02
309             	3.09153977e+02
310             	3.09158556e+02
311             	3.09163085e+02
312             	3.09167590e+02
313             	3.09172036e+02
314             	3.09176447e+02
315             	3.09180781e+02
316             	3.09185059e+02
317             	3.09189267e+02
318             	3.09193433e+02
319             	3.09197546e+02
320             	3.09201616e+02
321             	3.09205633e+02
322             	3.09209608e+02
323             	3.09213529e+02
324             	3.09217418e+02
325             	3.09221252e+02
326             	3.09225057e+02
327             	3.09228811e+02
328             	3.09232536e+02
329             	3.09236220e+02
330             	3.09239878e+02
331             	3.09243495e+02
332             	3.09247080e+02
333             	3.09250621e+02
334             	3.09254133e+02
335             	3.09257605e+02
336             	3.09261047e+02
337             	3.09264452e+02
338             	3.09267826e+02
339             	3.09271159e+02
340             	3.09274463e+02
341             	3.09277725e+02
342             	3.09280960e+02
343             	3.09284154e+02
344             	3.09287317e+02
345             	3.09290440e+02
346             	3.09293531e+02
347             	3.09296581e+02
348             	3.09299615e+02
349             	3.09302600e+02
350             	3.09305559e+02
351             	3.09308472e+02
352             	3.09311364e+02
353             	3.09314217e+02
354             	3.09317054e+02
355             	3.09319855e+02
356             	3.09322643e+02
357             	3.09325395e+02
358             	3.09328129e+02
359             	3.09330830e+02
360             	3.09333510e+02
361             	3.09336157e+02
362             	3.09338785e+02
363             	3.09341387e+02
364             	3.09343971e+02
365             	3.09346524e+02
366             	3.09349049e+02
367             	3.09351547e+02
368             	3.09354022e+02
369             	3.09356472e+02
370             	3.09358902e+02
371             	3.09361307e+02
372             	3.09363691e+02
373             	3.09366049e+02
374             	3.09368388e+02
375             	3.09370702e+02
376             	3.09372995e+02
377             	3.09375263e+02
378             	3.09377512e+02
379             	3.09379736e+02
380             	3.09381938e+02
381             	3.09384117e+02
382             	3.09386277e+02
383             	3.09388415e+02
384             	3.09390535e+02
385             	3.09392635e+02
386             	3.09394719e+02
387             	3.09396783e+02
388             	3.09398830e+02
389             	3.09400856e+02
390             	3.09402862e+02
391             	3.09404846e+02
392             	3.09406806e+02
393             	3.09408751e+02
394             	3.09410678e+02
395             	3.09412587e+02
396             	3.09414477e+02
397             	3.09416350e+02
398             	3.09418205e+02
399             	3.09420048e+02
400             	3.09421873e+02
401             	3.09423682e+02
402             	3.09425475e+02
403             	3.09427255e+02
404             	3.09429020e+02
405             	3.09430770e+02
406             	3.09432504e+02
407             	3.09434222e+02
408             	3.09435924e+02
409             	3.09437613e+02
410             	3.09439287e+02
411             	3.09440948e+02
412             	3.09442594e+02
413             	3.09444226e+02
414             	3.09445843e+02
415             	3.09447444e+02
416             	3.09449031e+02
417             	3.09450601e+02
418             	3.09452157e+02
419             	3.09453700e+02
420             	3.09455228e+02
421             	3.09456742e+02
422             	3.09458243e+02
423             	3.09459730e+02
424             	3.09461205e+02
425             	3.09462665e+02
426             	3.09464113e+02
427             	3.09465546e+02
428             	3.09466967e+02
429             	3.09468375e+02
430             	3.09469771e+02
431             	3.09471155e+02
432             	3.09472529e+02
433             	3.09473893e+02
434             	3.09475246e+02
435             	3.09476588e+02
436             	3.09477919e+02
437             	3.09479239e+02
438             	3.09480548e+02
439             	3.09481846e+02
440             	3.09483133e+02
441             	3.09484408e+02
442             	3.09485673e+02
443             	3.09486927e+02
444             	3.09488172e+02
445             	3.09489408e+02
446             	3.09490630e+02
447             	3.09491841e+02
448             	3.09493042e+02
449             	3.09494233e+02
450             	3.09495414e+02
451             	3.09496586e+02
452             	3.09497749e+02
453             	3.09498903e+02
454             	3.09500048e+02
455             	3.09501184e+02
456             	3.09502312e+02
457             	3.09503431e+02
458             	3.09504541e+02
459             	3.09505641e+02
460             	3.09506732e+02
461             	3.09507815e+02
462             	3.09508886e+02
463             	3.09509949e+02
464             	3.09511005e+02
465             	3.09512051e+02
466             	3.09513090e+02
467             	3.09514120e+02
468             	3.09515141e+02
469             	3.09516154e+02
470             	3.09517159e+02
471             	3.09518156e+02
472             	3.09519144e+02
473             	3.09520124e+02
474             	3.09521096e+02
475             	3.09522060e+02
476             	3.09523017e+02
477             	3.09523966e+02
478             	3.09524908e+02
479             	3.09525843e+02
480             	3.09526770e+02
481             	3.09527690e+02
482             	3.09528603e+02
483             	3.09529509e+02
484             	3.09530408e+02
485             	3.09531299e+02
486             	3.09532185e+02
487             	3.09533064e+02
488             	3.09533936e+02
489             	3.09534802e+02
490             	3.09535661e+02
491             	3.09536513e+02
492             	3.09537359e+02
493             	3.09538199e+02
494             	3.09539030e+02
495             	3.09539856e+02
496             	3.09540675e+02
497             	3.09541488e+02
498             	3.09542295e+02
499             	3.09543095e+02
500             	3.09543889e+02
501             	3.09544677e+02
502             	3.09545459e+02
503             	3.09546236e+02
504             	3.09547007e+02
505             	3.09547771e+02
506             	3.09548530e+02
507             	3.09549282e+02
508             	3.09550029e+02
509             	3.09550769e+02
510             	3.09551504e+02
511             	3.09552234e+02
512             	3.09552958e+02
513             	3.09553676e+02
514             	3.09554389e+02
515             	3.09555097e+02
516             	3.09555799e+02
517             	3.09556496e+02
518             	3.09557188e+02
519             	3.09557874e+02
520             	3.09558555e+02
521             	3.09559231e+02
522             	3.09559900e+02
523             	3.09560566e+02
524             	3.09561226e+02
525             	3.09561881e+02
526             	3.09562532e+02
527             	3.09563178e+02
528             	3.09563819e+02
529             	3.09564455e+02
530             	3.09565087e+02
531             	3.09565715e+02
532             	3.09566338e+02
533             	3.09566957e+02
534             	3.09567571e+02
535             	3.09568181e+02
536             	3.09568787e+02
537             	3.09569389e+02
538             	3.09569986e+02
539             	3.09570580e+02
540             	3.09571168e+02
541             	3.09571753e+02
542             	3.09572334e+02
543             	3.09572910e+02
544             	3.09573481e+02
545             	3.09574048e+02
546             	3.09574611e+02
547             	3.09575169e+02
548             	3.09575723e+02
549             	3.09576273e+02
550             	3.09576819e+02
551             	3.09577360e+02
552             	3.09577899e+02
553             	3.09578433e+02
554             	3.09578963e+02
555             	3.09579490e+02
556             	3.09580012e+02
557             	3.09580530e+02
558             	3.09581044e+02
559             	3.09581555e+02
560             	3.09582062e+02
561             	3.09582566e+02
562             	3.09583065e+02
563             	3.09583562e+02
564             	3.09584054e+02
565             	3.09584544e+02
566             	3.09585029e+02
567             	3.09585511e+02
568             	3.09585990e+02
569             	3.09586466e+02
570             	3.09586938e+02
571             	3.09587408e+02
572             	3.09587874e+02
573             	3.09588337e+02
574             	3.09588796e+02
575             	3.09589252e+02
576             	3.09589705e+02
577             	3.09590154e+02
578             	3.09590600e+02
579             	3.09591043e+02
580             	3.09591482e+02
581             	3.09591919e+02
582             	3.09592352e+02
583             	3.09592782e+02
584             	3.09593210e+02
585             	3.09593634e+02
586             	3.09594056e+02
587             	3.09594475e+02
588             	3.09594892e+02
589             	3.09595305e+02
590             	3.09595716e+02
591             	3.09596125e+02
592             	3.09596530e+02
593             	3.09596932e+02
594             	3.09597332e+02
595             	3.09597729e+02
596             	3.09598124e+02
597             	3.09598516e+02
598             	3.09598905e+02
599             	3.09599292e+02
600             	3.09599676e+02
601             	3.09600057e+02
602             	3.09600435e+02
603             	3.09600811e+02
604             	3.09601184e+02
605             	3.09601554e+02
606             	3.09601921e+02
607             	3.09602285e+02
608             	3.09602647e+02
609             	3.09603007e+02
610             	3.09603364e+02
611             	3.09603719e+02
612             	3.09604071e+02
613             	3.09604422e+02
614             	3.09604769e+02
615             	3.09605115e+02
616             	3.09605458e+02
617             	3.09605799e+02
618             	3.09606137e+02
619             	3.09606473e+02
620             	3.09606806e+02
621             	3.09607137e+02
622             	3.09607466e+02
623             	3.09607792e+02
624             	3.09608117e+02
625             	3.09608439e+02
626             	3.09608760e+02
627             	3.09609078e+02
628             	3.09609394e+02
629             	3.09609708e+02
630             	3.09610021e+02
631             	3.09610331e+02
632             	3.09610640e+02
633             	3.09610946e+02
634             	3.09611250e+02
635             	3.09611553e+02
636             	3.09611854e+02
637             	3.09612152e+02
638             	3.09612448e+02
639             	3.09612742e+02
640             	3.09613034e+02
641             	3.09613324e+02
642             	3.09613612e+02
643             	3.09613898e+02
644             	3.09614183e+02
645             	3.09614465e+02
646             	3.09614745e+02
647             	3.09615024e+02
648             	3.09615300e+02
649             	3.09615575e+02
650             	3.09615849e+02
651             	3.09616120e+02
652             	3.09616390e+02
653             	3.09616659e+02
654             	3.09616926e+02
655             	3.09617191e+02
656             	3.09617454e+02
657             	3.09617715e+02
658             	3.09617974e+02
659             	3.09618231e+02
660             	3.09618486e+02
661             	3.09618739e+02
662             	3.09618991e+02
663             	3.09619242e+02
664             	3.09619491e+02
665             	3.09619739e+02
666             	3.09619984e+02
667             	3.09620228e+02
668             	3.09620470e+02
669             	3.09620711e+02
670             	3.09620949e+02
671             	3.09621186e+02
672             	3.09621421e+02
673             	3.09621654e+02
674             	3.09621887e+02
675             	3.09622117e+02
676             	3.09622346e+02
677             	3.09622573e+02
678             	3.09622799e+02
679             	3.09623024e+02
680             	3.09623247e+02
681             	3.09623469e+02
682             	3.09623689e+02
683             	3.09623909e+02
684             	3.09624127e+02
685             	3.09624343e+02
686             	3.09624559e+02
687             	3.09624773e+02
688             	3.09624986e+02
689             	3.09625198e+02
690             	3.09625407e+02
691             	3.09625617e+02
692             	3.09625824e+02
693             	3.09626031e+02
694             	3.09626236e+02
695             	3.09626440e+02
696             	3.09626643e+02
697             	3.09626844e+02
698             	3.09627043e+02
699             	3.09627242e+02
700             	3.09627438e+02
701             	3.09627633e+02
702             	3.09627826e+02
703             	3.09628018e+02
704             	3.09628209e+02
705             	3.09628398e+02
706             	3.09628587e+02
707             	3.09628774e+02
708             	3.09628961e+02
709             	3.09629145e+02
